rank,athlete,age,school,eventName,eventCategory,round,seed,mark,wind,points
15,Monique McPherson,16,Central High,800 Meter Run,Track,NA,2:21.26,2:32.52,NA,NA
16,Shevanice Edwards,17,Tacius Golding,800 Meter Run,Track,NA,2:22.52,2:35.57,NA,NA
1,Romaine Headman,15,Jamaica College,800 Meter Run,Track,NA,2:00.88,1:59.36,NA,NA
2,Kevin Robinson,15,Foga Road High,800 Meter Run,Track,NA,2:01.40,1:59.48,NA,NA
3,Jorel Belfante,16,Calabar High,800 Meter Run,Track,NA,2:02.03,2:01.45,NA,NA
4,Robert Thomas,16,St. Jago High,800 Meter Run,Track,NA,2:02.09,1:59.52,NA,NA
5,Chad Antoine Miller,15,Kingston College,800 Meter Run,Track,NA,2:00.85,2:00.36,NA,NA
6,Ricordo McKENZIE,15,Cornwall College,800 Meter Run,Track,NA,2:01.23,2:02.09,NA,NA
7,Herbert Thomas,16,Munro College,800 Meter Run,Track,NA,2:08.08,2:00.42,NA,NA
8,Kadar Bryan,16,Jamaica College,800 Meter Run,Track,NA,2:01.44,2:02.30,NA,NA
9,Jevaine Mills,15,Petersfield High,800 Meter Run,Track,NA,2:02.71,2:02.75,NA,NA
10,Norman Pittersgill,15,Calabar High,800 Meter Run,Track,NA,2:07.70,2:02.76,NA,NA
11,Ricardo Campbell,16,Camperdown High,800 Meter Run,Track,NA,2:01.87,2:02.87,NA,NA
12,Tarik Fullerton,16,Cornwall College,800 Meter Run,Track,NA,2:01.71,2:03.52,NA,NA
13,Miguel Morrision,15,Kingston College,800 Meter Run,Track,NA,2:02.49,2:03.80,NA,NA
14,Najaye Stewart,16,Manchester High,800 Meter Run,Track,NA,2:02.39,2:04.64,NA,NA
15,Marvin Blake,16,Campion College,800 Meter Run,Track,NA,2:03.78,2:04.80,NA,NA
16,Javaun Newman,16,Spanish Town High,800 Meter Run,Track,NA,2:02.95,2:04.96,NA,NA
17,Rohan Corcho,16,Foga Road High,800 Meter Run,Track,NA,2:03.16,2:05.68,NA,NA
18,Aron Gayle,15,Christiana,800 Meter Run,Track,NA,2:04.05,2:05.98,NA,NA
19,Rajay Hamilton,16,Lennon High,800 Meter Run,Track,NA,2:05.02,2:06.14,NA,NA
20,Tevin Burton,16,Holmwood Technical,800 Meter Run,Track,NA,2:03.86,2:06.48,NA,NA
21,Kehjon Bonnick,15,St. Jago High,800 Meter Run,Track,NA,2:03.91,2:06.83,NA,NA
22,Dwayne Pinnock,16,Wolmers' Boys,800 Meter Run,Track,NA,2:01.73,2:08.25,NA,NA
23,Travis Mitchelle,16,Old Harbour High,800 Meter Run,Track,NA,2:03.99,2:08.61,NA,NA
--,Anthony Small,16,St. Mary Technical,800 Meter Run,Track,NA,2:03.98,DNF,NA,NA
1,Janieve Russel,17,Holmwood Technical,Long Jump,Field,NA,5.97m,6.26m,2.1,9
2,Chanice Porter,17,Manchester High,Long Jump,Field,NA,6.26m,6.06m,2.7,7
3,Opal James,16,St. Elizabeth TE,Long Jump,Field,NA,5.64m,5.82m,1.2,6
4,Shaulene Prince,17,St. Jago High,Long Jump,Field,NA,5.63m,5.67m,1.5,5
5,Tameca Wallace,17,Bellefield,Long Jump,Field,NA,5.59m,5.64m,3.1,4
6,Nickeisha Gordon,17,Bellefield,Long Jump,Field,NA,5.51m,5.60m,1.6,3
7,Tatiana Wolfe,16,Convent OF Mercy,Long Jump,Field,NA,5.65m,5.57m,2.3,2
8,Shanice McPherson,16,Holmwood Technical,Long Jump,Field,NA,5.56m,5.48m,2.9,1
9,Rusheen Reid,17,The Queen's School,Long Jump,Field,NA,5.65m,5.44m,1.8,null
10,Claudette Allen,16,Edwin Allen High,Long Jump,Field,NA,5.92m,5.38m,1.3,null
10,Trisharna Smith,16,Edwin Allen High,Long Jump,Field,NA,5.47m,5.38m,1.7,null
12,Lexanna Morgan,17,Convent OF Mercy,Long Jump,Field,NA,5.44m,5.36m,1.0,null
12,Trudy McCalla,17,Oberlin High,Long Jump,Field,NA,5.32m,5.36m,2.2,null
14,Chantal Pennie,17,Vere Technical,Long Jump,Field,NA,5.29m,5.35m,null,null
15,Runique Gray,16,St. Jago High,Long Jump,Field,NA,5.45m,5.32m,3.3,null
16,Rashell Reid,17,Mannings High,Long Jump,Field,NA,5.25m,5.17m,1.2,null
17,Xian-George Reid,17,Vere Technical,Long Jump,Field,NA,5.60m,5.08m,1.5,null
18,Dhanyel Johnson,17,St. Andrew High,Long Jump,Field,NA,5.25m,5.04m,2.5,null
1,Willomena Williams,18,Bog Walk,800 Meter Run,Track,NA,2:14.19,2:12.28,NA,NA
2,Ristanannna Tracey,19,Edwin Allen High,800 Meter Run,Track,NA,2:06.60,2:12.82,NA,NA
3,Desreen Montaque,18,Edwin Allen High,800 Meter Run,Track,NA,2:13.74,2:13.63,NA,NA
4,Petrene Plummer,18,Holmwood Technical,800 Meter Run,Track,NA,2:11.83,2:12.60,NA,NA
5,Chantal Duncan,18,Vere Technical,800 Meter Run,Track,NA,2:13.11,2:15.09,NA,NA
6,Monique Thompson,19,Holmwood Technical,800 Meter Run,Track,NA,2:14.25,2:15.48,NA,NA
7,Jhevere Hall,18,St. Jago High,800 Meter Run,Track,NA,2:15.24,2:13.28,NA,NA
8,Teona Glaves,19,Bellefield,800 Meter Run,Track,NA,2:22.24,2:17.20,NA,NA
9,Molly-Ann Blake,18,St. Jago High,800 Meter Run,Track,NA,2:14.24,2:17.55,NA,NA
10,Moya McKenzie,19,Bellefield,800 Meter Run,Track,NA,2:24.24,2:21.92,NA,NA
11,Omilea Montique,18,William Knibb High,800 Meter Run,Track,NA,2:23.14,2:23.12,NA,NA
12,Nickeisha Williams,18,St. Elizabeth TE,800 Meter Run,Track,NA,2:20.24,2:24.72,NA,NA
13,Lacy-Ann Lecky,19,Buff Bay High,800 Meter Run,Track,NA,2:36.98,2:44.34,NA,NA
14,Diedre Lewis,18,Titchfield High,800 Meter Run,Track,NA,2:42.20,2:47.51,NA,NA
--,Nekeisha Mitchell,18,Manchester High,800 Meter Run,Track,NA,null,2:29.89,NA,NA
--,Renea Ambersley,18,Irwin High,800 Meter Run,Track,NA,2:22.85,DNS,NA,NA
--,Jhennelle Johnson,19,Dinthill,800 Meter Run,Track,NA,2:28.40,DNS,NA,NA
--,Crystal Palmer,19,St. Catherine High,800 Meter Run,Track,NA,2:23.24,DNS,NA,NA
1,Rando Gunn,19,Calabar High,800 Meter Run,Track,NA,1:58.59,1:54.28,NA,NA
2,Sanje Pantry,18,St. Jago High,800 Meter Run,Track,NA,1:58.19,1:55.70,NA,NA
3,Brian Smith,17,Clarendon College,800 Meter Run,Track,NA,1:57.65,1:56.11,NA,NA
5,Alex Saunders,18,Holmwood Technical,800 Meter Run,Track,NA,1:57.72,1:56.14,NA,NA
6,Andre Hare,18,Kingston College,800 Meter Run,Track,NA,2:02.53,1:56.20,NA,NA
7,Rayon Black,17,Ferncourt High,800 Meter Run,Track,NA,2:00.07,1:55.19,NA,NA
8,Rogeek Rochester,19,Kingston College,800 Meter Run,Track,NA,2:00.47,1:55.23,NA,NA
9,Giovanni Foote,19,Munro College,800 Meter Run,Track,NA,1:56.88,1:56.52,NA,NA
10,Oryane Espuet,17,Manchester High,800 Meter Run,Track,NA,1:57.84,1:56.74,NA,NA
11,Earl Grant,18,Jamaica College,800 Meter Run,Track,NA,2:02.38,1:56.89,NA,NA
12,Michael Stone,17,May Day High,800 Meter Run,Track,NA,1:57.98,1:56.95,NA,NA
12,Shavon Barnes,18,Camperdown High,800 Meter Run,Track,NA,2:00.01,1:56.95,NA,NA
14,Delano Lilly,19,Glenmuir High,800 Meter Run,Track,NA,1:58.59,1:59.04,NA,NA
15,Rouaj Shirley,19,Campion College,800 Meter Run,Track,NA,1:59.61,1:59.49,NA,NA
16,Oshane Turner,17,Petersfield High,800 Meter Run,Track,NA,1:59.65,2:00.46,NA,NA
17,Jordane Black,17,Cornwall College,800 Meter Run,Track,NA,1:58.52,2:00.47,NA,NA
18,Brandon Peart,19,Glenmuir High,800 Meter Run,Track,NA,1:59.02,2:01.09,NA,NA
19,Ossian Popley,17,Spanish Town High,800 Meter Run,Track,NA,2:00.71,2:02.39,NA,NA
20,Marcel Williamson,17,Porus High,800 Meter Run,Track,NA,2:00.97,2:05.16,NA,NA
21,Martin Kennedy,17,Bellefield,800 Meter Run,Track,NA,1:58.18,2:06.65,NA,NA
22,Damian Wiggan,18,Titchfield High,800 Meter Run,Track,NA,2:00.06,2:10.48,NA,NA
--,Waquar Dacosta,18,Jamaica College,800 Meter Run,Track,NA,1:58.59,DNF,NA,NA
--,Jason Fletcher,19,Claude McKAY High,800 Meter Run,Track,NA,2:00.16,DNF,NA,NA
1,Dwayne Hibbert,18,St. Elizabeth TE,5000 Meter Run,Track,NA,16:15.27,16:18.55,NA,NA
2,Palmer Nambhard,18,Bellefield,5000 Meter Run,Track,NA,17:41.00,17:01.53,NA,NA
3,Giovanni Mowatt,19,Munro College,5000 Meter Run,Track,NA,16:23.80,16:19.67,NA,NA
4,Webster Chung,19,St. Jago High,5000 Meter Run,Track,NA,16:00.89,17:02.43,NA,NA
5,Roshawn Johnson,18,St. Jago High,5000 Meter Run,Track,NA,17:08.70,16:22.92,NA,NA
6,Bryan Golding,17,May Day High,5000 Meter Run,Track,NA,17:41.00,17:03.12,NA,NA
8,Ptolemy Hayden,17,Ocho Rios High,5000 Meter Run,Track,NA,16:41.50,17:04.78,NA,NA
9,Bejaun Jones,18,Jamaica College,5000 Meter Run,Track,NA,16:52.62,16:26.18,NA,NA
11,Jamie Williams,19,Dinthill,5000 Meter Run,Track,NA,19:00.00,16:43.77,NA,NA
12,Michael Chambers,17,May Day High,5000 Meter Run,Track,NA,17:19.43,16:47.11,NA,NA
13,Romario Guthrie,15,St. Elizabeth TE,5000 Meter Run,Track,NA,16:48.70,17:21.87,NA,NA
14,Demoy Dunkley,16,Balaclava High,5000 Meter Run,Track,NA,18:31.00,17:23.04,NA,NA
15,Rohan Maragh,19,Tacius Golding,5000 Meter Run,Track,NA,17:56.51,17:29.58,NA,NA
16,Winston Freeman,16,Bellefield,5000 Meter Run,Track,NA,16:51.00,17:39.70,NA,NA
17,Francois Bender,17,Lewisville High,5000 Meter Run,Track,NA,17:51.31,17:42.99,NA,NA
18,Warren Dunn,19,Calabar High,5000 Meter Run,Track,NA,17:23.00,17:44.43,NA,NA
19,Kemar Barrett,18,Wolmers' Boys,5000 Meter Run,Track,NA,17:40.88,18:22.67,NA,NA
20,Damion Prendergast,18,Munro College,5000 Meter Run,Track,NA,17:03.00,18:25.04,NA,NA
21,Nicholas Deighton,16,Jamaica College,5000 Meter Run,Track,NA,17:28.00,18:35.50,NA,NA
22,Nicholas Campbell,15,Holy Trinity High,5000 Meter Run,Track,NA,18:33.00,18:35.53,NA,NA
--,Kemar Megie,18,Charlie Smith High,5000 Meter Run,Track,NA,null,DNS,NA,NA
--,Lurenza Atkinson,18,Maud McLEOD,5000 Meter Run,Track,NA,18:29.30,DNS,NA,NA
1,Rushelle Burton,13,St. Andrew High,200 Meter Dash,Track,NA,25.58,25.43,NA,NA
2,Jody-Ann Petrie,13,Excelsior High,200 Meter Dash,Track,NA,26.11,25.48,NA,NA
3,Shanice Brown,13,Edwin Allen High,200 Meter Dash,Track,NA,26.14,25.84,NA,NA
4,Okalia Buchanan,13,Wolmers Girls,200 Meter Dash,Track,NA,25.73,25.71,NA,NA
5,Shellece Clark,12,Edwin Allen High,200 Meter Dash,Track,NA,26.18,25.80,NA,NA
6,Kishauna Smith,13,Herbert Morrison,200 Meter Dash,Track,NA,25.71,26.08,NA,NA
7,Ayeshia Morgan,13,Hydel High,200 Meter Dash,Track,NA,26.34,25.81,NA,NA
8,Satanya Wright,12,St. Elizabeth TE,200 Meter Dash,Track,NA,26.36,26.12,NA,NA
9,Danielle Thompson,13,Manchester High,200 Meter Dash,Track,NA,27.09,26.20,NA,NA
10,Safiya Thompson,13,St. Jago High,200 Meter Dash,Track,NA,26.48,26.24,NA,NA
11,Sidney Marshall,12,Manchester High,200 Meter Dash,Track,NA,26.01,26.24,NA,NA
12,Taqece Duggan,13,Hydel High,200 Meter Dash,Track,NA,26.73,26.57,NA,NA
13,Renee Shaw,13,Excelsior High,200 Meter Dash,Track,NA,26.65,26.65,NA,NA
14,Natalie Walters,13,Holmwood Technical,200 Meter Dash,Track,NA,26.67,26.76,NA,NA
15,Randese Ennis,13,Camperdown High,200 Meter Dash,Track,NA,27.20,26.80,NA,NA
16,Junelle Bromfield,13,St. Elizabeth TE,200 Meter Dash,Track,NA,26.62,26.84,NA,NA
17,Debra Foster,13,Irwin High,200 Meter Dash,Track,NA,26.39,26.98,NA,NA
18,Reckasha Brooks,13,Holmwood Technical,200 Meter Dash,Track,NA,26.42,27.02,NA,NA
19,Tissann Hickling,13,St. Jago High,200 Meter Dash,Track,NA,26.89,27.07,NA,NA
20,Kaydean Vassel,13,St. Andrew High,200 Meter Dash,Track,NA,27.03,27.08,NA,NA
21,Christina Reece,13,Herbert Morrison,200 Meter Dash,Track,NA,27.15,27.16,NA,NA
22,Dominique Higgins,13,St. Hugh's High,200 Meter Dash,Track,NA,27.23,27.52,NA,NA
23,Camay Passley,13,Titchfield High,200 Meter Dash,Track,NA,27.28,27.79,NA,NA
24,Janeek Brown,13,Wolmers Girls,200 Meter Dash,Track,NA,27.38,27.85,NA,NA
9,Chante Robert,14,Vere Technical,200 Meter Dash,Track,NA,26.15,25.66,NA,NA
10,Georgiana Gordon,15,St. Jago High,200 Meter Dash,Track,NA,25.68,25.80,NA,NA
11,Ashley Williams,14,Muschett High,200 Meter Dash,Track,NA,25.76,25.83,NA,NA
12,Sasha-Kaye Tracey,14,Herbert Morrison,200 Meter Dash,Track,NA,26.26,25.86,NA,NA
13,Yonique Richards,15,Vere Technical,200 Meter Dash,Track,NA,25.60,26.00,NA,NA
14,Ashley Baker,14,Excelsior High,200 Meter Dash,Track,NA,26.07,26.01,NA,NA
15,Regena Jackson,15,Immaculate Conce,200 Meter Dash,Track,NA,26.24,26.12,NA,NA
16,Amanda Carty,14,Hydel High,200 Meter Dash,Track,NA,26.02,26.19,NA,NA
17,Yeashchea Williams,14,Dinthill,200 Meter Dash,Track,NA,26.09,26.43,NA,NA
18,Tracy-Ann May,15,Edwin Allen High,200 Meter Dash,Track,NA,26.67,26.55,NA,NA
19,Natasha Walker,15,Bog Walk,200 Meter Dash,Track,NA,26.39,26.62,NA,NA
20,Shantae Newby,15,The Queen's School,200 Meter Dash,Track,NA,26.67,26.78,NA,NA
1,Shawna Helps,14,Wolmers Girls,200 Meter Dash,Track,NA,25.43,24.85,NA,NA
2,Sashalee Forbes,15,Holmwood Technical,200 Meter Dash,Track,NA,25.28,25.03,NA,NA
3,Janielle Smith,15,Wolmers Girls,200 Meter Dash,Track,NA,25.62,25.14,NA,NA
4,Peta-Gay Williams,15,Camperdown High,200 Meter Dash,Track,NA,25.63,25.25,NA,NA
5,Diana Johnson,15,Holmwood Technical,200 Meter Dash,Track,NA,26.41,25.35,NA,NA
6,Ashley Stephen,15,Glenmuir High,200 Meter Dash,Track,NA,25.89,25.61,NA,NA
7,Juel Silvera,15,Herbert Morrison,200 Meter Dash,Track,NA,25.47,25.53,NA,NA
8,Christena Gayle,14,Manchester High,200 Meter Dash,Track,NA,25.57,25.62,NA,NA
21,Christine Moss,14,St. Elizabeth TE,200 Meter Dash,Track,NA,25.93,26.86,NA,NA
22,Shannell Hibbert,14,Camperdown High,200 Meter Dash,Track,NA,26.30,27.08,NA,NA
--,Natallia Whyte,14,St. Jago High,200 Meter Dash,Track,NA,null,26.25,NA,NA
--,Saqukine Cameron,15,Edwin Allen High,200 Meter Dash,Track,NA,25.68,DNS,NA,NA
1,Michael Ohara,14,Calabar High,200 Meter Dash,Track,NA,23.45,22.72,NA,NA
2,Devaughn Baker,14,Jamaica College,200 Meter Dash,Track,NA,23.46,23.03,NA,NA
3,Raje Fearon,13,Kingston College,200 Meter Dash,Track,NA,23.58,23.08,NA,NA
4,Raheem Chambers,13,St. Jago High,200 Meter Dash,Track,NA,24.17,23.04,NA,NA
5,Rojay Ottey,14,Munro College,200 Meter Dash,Track,NA,23.52,23.09,NA,NA
5,Jordan James,13,Wolmers' Boys,200 Meter Dash,Track,NA,24.10,23.09,NA,NA
7,Rashaad Saunderson,14,Kingston College,200 Meter Dash,Track,NA,23.73,23.14,NA,NA
8,Karey Kelly,14,Wolmers' Boys,200 Meter Dash,Track,NA,23.79,23.34,NA,NA
9,Javauri Mitchell,14,Munro College,200 Meter Dash,Track,NA,24.06,23.73,NA,NA
10,Seanie Selvin,14,Calabar High,200 Meter Dash,Track,NA,23.90,23.80,NA,NA
11,Caliph Mais,14,Camperdown High,200 Meter Dash,Track,NA,23.92,23.93,NA,NA
12,Kyno Blackwood,14,Jamaica College,200 Meter Dash,Track,NA,24.30,23.96,NA,NA
13,Romario Grinnan,14,Old Harbour High,200 Meter Dash,Track,NA,24.10,24.06,NA,NA
14,Andre Rodney,14,Muschett High,200 Meter Dash,Track,NA,24.49,24.11,NA,NA
15,Travis Daley,14,Herbert Morrison,200 Meter Dash,Track,NA,24.34,24.13,NA,NA
16,Roje Jackson-Chin,14,St. Jago High,200 Meter Dash,Track,NA,24.63,24.14,NA,NA
17,Nicholas Alexander,13,Manchester High,200 Meter Dash,Track,NA,24.67,24.15,NA,NA
18,Nicholas Ellis-Davis,14,Christiana,200 Meter Dash,Track,NA,24.16,24.16,NA,NA
19,Romario Clarke,14,Hydel High,200 Meter Dash,Track,NA,24.10,24.33,NA,NA
20,Brandon Robinson,13,Camperdown High,200 Meter Dash,Track,NA,24.62,24.75,NA,NA
21,Mario Morgan,14,Charlemont High,200 Meter Dash,Track,NA,24.67,24.81,NA,NA
22,Brandon Grey,14,Cornwall College,200 Meter Dash,Track,NA,24.60,25.03,NA,NA
23,Xavior Angus,13,Dinthill,200 Meter Dash,Track,NA,24.68,25.16,NA,NA
24,Johnoy Brown,14,Fair Prospect High,200 Meter Dash,Track,NA,24.49,27.50,NA,NA
1,Sherieka Jackson,17,Vere Technical,200 Meter Dash,Track,NA,24.79,23.90,NA,NA
2,Claudette Allen,16,Edwin Allen High,200 Meter Dash,Track,NA,24.29,24.38,NA,NA
3,Cardine Copeland,17,Wolmers Girls,200 Meter Dash,Track,NA,25.65,24.48,NA,NA
4,Satima Chambers,16,Vere Technical,200 Meter Dash,Track,NA,25.33,25.12,NA,NA
5,Jodean Williams,17,St. Mary High,200 Meter Dash,Track,NA,24.88,24.58,NA,NA
6,Kissi-Ann Brown,16,Wolmers Girls,200 Meter Dash,Track,NA,24.98,25.20,NA,NA
7,Chanice Bonner,16,The Queen's School,200 Meter Dash,Track,NA,25.24,24.69,NA,NA
8,Kedisha Dallas,16,Holmwood Technical,200 Meter Dash,Track,NA,25.63,25.33,NA,NA
9,Melissa Williams,17,St. Jago High,200 Meter Dash,Track,NA,25.79,24.75,NA,NA
10,Daniella Kerr,17,Herbert Morrison,200 Meter Dash,Track,NA,25.65,25.42,NA,NA
11,Dejah Stewart,17,Edwin Allen High,200 Meter Dash,Track,NA,25.56,25.43,NA,NA
12,Channiel Johnson,16,William Knibb High,200 Meter Dash,Track,NA,25.67,25.57,NA,NA
13,Kerry-Ann Richardson,17,St. Jago High,200 Meter Dash,Track,NA,25.94,25.62,NA,NA
14,Oshin Brooks-Gillings,16,Convent OF Mercy,200 Meter Dash,Track,NA,25.72,25.95,NA,NA
15,Samantha James,17,Papine High School,200 Meter Dash,Track,NA,26.03,26.08,NA,NA
--,Kenesha Stephens,17,Herbert Morrison,200 Meter Dash,Track,NA,null,25.66,NA,NA
1,Deshawn Jackson,16,Jamaica College,200 Meter Dash,Track,NA,22.78,21.99,NA,NA
2,Jevaughn Minzie,16,Bog Walk,200 Meter Dash,Track,NA,22.74,22.20,NA,NA
3,Lennox Williams,16,Manchester High,200 Meter Dash,Track,NA,22.98,22.36,NA,NA
4,Kadeesh Willis,16,St. Jago High,200 Meter Dash,Track,NA,23.31,22.36,NA,NA
5,Kaneil Harrison,16,Munro College,200 Meter Dash,Track,NA,23.01,22.40,NA,NA
6,Denval Daley,16,St. Elizabeth TE,200 Meter Dash,Track,NA,22.88,22.53,NA,NA
7,Tevin-Lloyd Thompson,16,Kingston College,200 Meter Dash,Track,NA,22.97,22.41,NA,NA
8,Tevin Wilson,15,Munro College,200 Meter Dash,Track,NA,23.14,22.53,NA,NA
9,Raheem Robinson,15,Wolmers' Boys,200 Meter Dash,Track,NA,23.23,22.55,NA,NA
10,Delroy Patterson,16,Herbert Morrison,200 Meter Dash,Track,NA,23.06,22.58,NA,NA
11,Zavian Williams,15,Calabar High,200 Meter Dash,Track,NA,22.67,22.61,NA,NA
12,Julio Edwards,16,St. Elizabeth TE,200 Meter Dash,Track,NA,22.55,22.63,NA,NA
13,Brandon McINTOSH,15,ST Thomas Technical,200 Meter Dash,Track,NA,22.93,22.65,NA,NA
14,Antonio Henry,16,Kingston College,200 Meter Dash,Track,NA,23.29,22.65,NA,NA
15,Jonah Morgan,16,Excelsior High,200 Meter Dash,Track,NA,23.38,22.72,NA,NA
16,Jason Drake,16,Calabar High,200 Meter Dash,Track,NA,23.38,22.72,NA,NA
17,Gawain Williams,15,Herbert Morrison,200 Meter Dash,Track,NA,23.21,22.77,NA,NA
18,Tyler Mason,16,Jamaica College,200 Meter Dash,Track,NA,22.90,22.80,NA,NA
19,Allayne Cunningham,16,Guy's Hill High,200 Meter Dash,Track,NA,23.18,22.89,NA,NA
20,Chadwayne Vidal,16,Green Island High,200 Meter Dash,Track,NA,23.18,22.94,NA,NA
21,Javan Gray,16,Muschett High,200 Meter Dash,Track,NA,23.59,23.44,NA,NA
22,Tevin Dixon,16,Foga Road High,200 Meter Dash,Track,NA,23.16,23.53,NA,NA
23,Lavar Farquharson,16,Clarendon College,200 Meter Dash,Track,NA,23.78,24.07,NA,NA
24,Hakeem Francis,16,Hydel High,200 Meter Dash,Track,NA,23.50,25.20,NA,NA
1,Yanique Ellington,19,Holmwood Technical,200 Meter Dash,Track,NA,24.75,24.31,NA,NA
2,Remona Burchell,19,Herbert Morrison,200 Meter Dash,Track,NA,24.99,24.53,NA,NA
3,Josette Campbell,19,Edwin Allen High,200 Meter Dash,Track,NA,24.86,24.55,NA,NA
4,Toveo Jenkins,18,Herbert Morrison,200 Meter Dash,Track,NA,25.30,24.71,NA,NA
5,Shashawna Ffrench,19,Edwin Allen High,200 Meter Dash,Track,NA,25.03,24.77,NA,NA
6,Shericka Moulton,18,Holmwood Technical,200 Meter Dash,Track,NA,25.88,24.78,NA,NA
7,Stacika Bright,18,William Knibb High,200 Meter Dash,Track,NA,25.86,24.84,NA,NA
8,Monique Lovelock,18,St. Jago High,200 Meter Dash,Track,NA,25.81,25.49,NA,NA
9,Toni-Ann Moore,19,Camperdown High,200 Meter Dash,Track,NA,25.60,24.91,NA,NA
10,Moya McKenzie,19,Bellefield,200 Meter Dash,Track,NA,25.79,25.51,NA,NA
11,Ackhena Martin,18,Tacius Golding,200 Meter Dash,Track,NA,25.97,25.57,NA,NA
12,Shantoya Lee,18,St. Jago High,200 Meter Dash,Track,NA,25.66,25.64,NA,NA
13,Avadon James,18,St. Hugh's High,200 Meter Dash,Track,NA,26.21,25.98,NA,NA
14,Shauna-Kay Cousins,18,Vere Technical,200 Meter Dash,Track,NA,25.87,26.05,NA,NA
15,Jannel Foster,18,Wolmers Girls,200 Meter Dash,Track,NA,26.33,26.11,NA,NA
16,Colleen Spencer,19,Manchester High,200 Meter Dash,Track,NA,26.25,26.27,NA,NA
1,Julian Forte,18,Wolmers' Boys,200 Meter Dash,Track,NA,21.49,21.18,NA,NA
2,Jazeel Murphy,17,Bridgeport,200 Meter Dash,Track,NA,22.15,21.20,NA,NA
3,Kemarley Brown,19,St. Elizabeth TE,200 Meter Dash,Track,NA,22.16,21.21,NA,NA
4,Rayon Headley,19,Dinthill,200 Meter Dash,Track,NA,22.38,22.09,NA,NA
5,Michael Denton,18,St. Jago High,200 Meter Dash,Track,NA,22.87,22.33,NA,NA
6,Krisneve Palmer,19,Bellefield,200 Meter Dash,Track,NA,22.13,22.39,NA,NA
7,Charles Palmer,18,Excelsior High,200 Meter Dash,Track,NA,22.88,22.92,NA,NA
8,Collin King,18,Christiana,200 Meter Dash,Track,NA,22.84,23.14,NA,NA
1,Odail Todd,17,Green Island High,200 Meter Dash,Track,NA,22.09,21.47,NA,NA
2,Nethanee Mitchell-Blake,17,Jamaica College,200 Meter Dash,Track,NA,21.87,21.63,NA,NA
3,Travane Morrison,18,Kingston College,200 Meter Dash,Track,NA,22.23,21.65,NA,NA
4,Oshane Burrell,17,Manchester High,200 Meter Dash,Track,NA,22.40,22.18,NA,NA
5,Clayton Coates,18,Herbert Morrison,200 Meter Dash,Track,NA,22.88,22.47,NA,NA
6,Jason Hylton,17,Calabar High,200 Meter Dash,Track,NA,22.43,22.52,NA,NA
7,Earnest Turnbull,17,St. Jago High,200 Meter Dash,Track,NA,22.56,23.18,NA,NA
--,Rajiv Service,19,Munro College,200 Meter Dash,Track,NA,null,22.44,NA,NA
1,Delano Williams,17,Munro College,200 Meter Dash,Track,NA,22.33,21.05,NA,NA
2,Jovan Williams,18,Kingston College,200 Meter Dash,Track,NA,21.96,21.68,NA,NA
3,Bernard Brady,19,Camperdown High,200 Meter Dash,Track,NA,22.46,21.91,NA,NA
4,A-Shawni Mitchell,19,Wolmers' Boys,200 Meter Dash,Track,NA,22.05,22.21,NA,NA
5,Chadic Hinds,19,St. Elizabeth TE,200 Meter Dash,Track,NA,22.47,22.44,NA,NA
6,Dean Jenkins,17,St. James High,200 Meter Dash,Track,NA,23.04,23.65,NA,NA
--,George Fearon,17,Calabar High,200 Meter Dash,Track,NA,null,22.41,NA,NA
--,Kavean Smith,19,Jamaica College,200 Meter Dash,Track,NA,22.38,DNF,NA,NA
1,Delano Williams,17,Munro College,200 Meter Dash,Track,NA,22.33,21.05,NA,NA
2,Julian Forte,18,Wolmers' Boys,200 Meter Dash,Track,NA,21.49,21.18,NA,NA
3,Odail Todd,17,Green Island High,200 Meter Dash,Track,NA,22.09,21.47,NA,NA
4,Jazeel Murphy,17,Bridgeport,200 Meter Dash,Track,NA,22.15,21.20,NA,NA
5,Nethanee Mitchell-Blake,17,Jamaica College,200 Meter Dash,Track,NA,21.87,21.63,NA,NA
6,Jovan Williams,18,Kingston College,200 Meter Dash,Track,NA,21.96,21.68,NA,NA
7,Kemarley Brown,19,St. Elizabeth TE,200 Meter Dash,Track,NA,22.16,21.21,NA,NA
8,Travane Morrison,18,Kingston College,200 Meter Dash,Track,NA,22.23,21.65,NA,NA
9,Bernard Brady,19,Camperdown High,200 Meter Dash,Track,NA,22.46,21.91,NA,NA
10,Rayon Headley,19,Dinthill,200 Meter Dash,Track,NA,22.38,22.09,NA,NA
11,Oshane Burrell,17,Manchester High,200 Meter Dash,Track,NA,22.40,22.18,NA,NA
12,A-Shawni Mitchell,19,Wolmers' Boys,200 Meter Dash,Track,NA,22.05,22.21,NA,NA
13,Michael Denton,18,St. Jago High,200 Meter Dash,Track,NA,22.87,22.33,NA,NA
14,Krisneve Palmer,19,Bellefield,200 Meter Dash,Track,NA,22.13,22.39,NA,NA
15,Chadic Hinds,19,St. Elizabeth TE,200 Meter Dash,Track,NA,22.47,22.44,NA,NA
16,Clayton Coates,18,Herbert Morrison,200 Meter Dash,Track,NA,22.88,22.47,NA,NA
17,Jason Hylton,17,Calabar High,200 Meter Dash,Track,NA,22.43,22.52,NA,NA
18,Charles Palmer,18,Excelsior High,200 Meter Dash,Track,NA,22.88,22.92,NA,NA
19,Collin King,18,Christiana,200 Meter Dash,Track,NA,22.84,23.14,NA,NA
